"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cluster"
"131","Neftel_Cell_2019_G2.M","0.0675400661409311","0.124689352875565","0.0609531156006142","-0.531071677260295","-1.48412425893518","10","c(""H2AFZ"", ""TUBB4B"", ""ARL6IP1"", ""HMGB3"", ""CKAP2"", ""KPNA2"", ""MZT1"", ""TMPO"", ""ANP32E"")","2"
"132","Endothelial.cells","0.04422457980689","0.08844915961378","0.0735499839648035","-0.50227639574015","-1.56964186721916","15","c(""CD9"", ""SGK1"", ""EMP1"", ""TM4SF1"", ""EDNRB"", ""MYLK"", ""MGLL"", ""TIMP3"", ""MEOX2"", ""MCAM"")","2"
"133","Richards_NatureCancer_2021_sc.Developmental","0.00190266372922091","0.00761065491688364","0.335068558717014","-0.342061560381957","-1.59804847891235","156","c(""JUND"", ""PLP1"", ""JUN"", ""ARC"", ""NR4A1"", ""DBI"", ""C11orf96"", ""EGR1"", ""BCAN"", ""TUBB2B"", ""BTG2"", ""ID4"", ""GAS1"", ""MARCKSL1"", ""LAPTM4B"", ""PMP2"", ""TYMS"", ""EGR3"", ""YBX1"", ""OLIG1"", ""FAM181B"", ""NUDT1"", ""GAP43"", ""ATP1A2"", ""H1FX"", ""NFIA"", ""GGCT"", ""OLIG2"", ""GNG7"", ""EDNRB"", ""CSPG5"", ""TTYH1"", ""UBALD2"", ""SLC25A4"", ""H2AFV"", ""MATN2"", ""RAC1"", ""SRI"", ""SNX10"", ""PSAT1"", ""CCND2"", ""BAALC"", ""ERBB3"", ""IDH2"", ""CDKN1A"", ""UBL3"", ""MIDN"", ""GLUL"", ""MEOX2"", ""ABCA8"", ""MDH2"", ""HES6"", ""TGIF1"", ""HNRNPA0"", ""SEC11C"", ""FAM3C"", ""HSBP1"", 
""UQCRFS1"", ""CALM1"", ""LINGO1"", ""PAFAH1B3"")","2"
"134","Chanoch_Myers_MES_OTHER","0.0155704697986577","0.0339719341061623","0.133462622481397","-0.670329081899198","-1.66863443988108","7","c(""GADD45B"", ""JUN"", ""IGFBP3"", ""SAT1"")","2"
"135","Oligodendrocyte.progenitor.cells","0.00663560638147678","0.0199068191444303","0.211070537868325","-0.772067039106145","-1.73513526788754","5","c(""OLIG1"", ""OLIG2"", ""CSPG5"", ""CNP"", ""SOX10"")","2"
"136","Chanoch_Myers_ASTROCYTE","0.00832214765100671","0.0213625470729202","0.183397180948084","-0.700973979303004","-1.74491806324669","7","c(""ID4"", ""PMP2"", ""TSC22D4"", ""CST3"", ""F3"", ""GLUL"")","2"
"137","Microglia","0.00381194409148666","0.0130695225993828","0.279865652661932","-0.789665047452233","-1.77468484503466","5","c(""FOS"", ""EGR1"")","2"
"138","Neftel_Cell_2019_MES2","0.00183650152537196","0.00761065491688364","0.45505986738723","-0.713347962557716","-1.92947000240001","9","c(""ATF3"", ""PPP1R15A"", ""IGFBP3"", ""AKAP12"", ""NAMPT"", ""SERTAD1"", ""CDKN1A"")","2"
"139","Neftel_Cell_2019_NPC1","0.0013625733664197","0.00761065491688364","0.45505986738723","-0.725845915164216","-1.9632745773219","9","c(""BCAN"", ""STMN1"", ""BTG2"", ""MARCKSL1"", ""OLIG1"")","2"
"140","Neftel_Cell_2019_OPC","0.000191171927747112","0.00157689869218954","0.518848077743792","-0.772743095800039","-2.0901224944443","9","c(""PLP1"", ""DBI"", ""BCAN"", ""PMP2"", ""OLIG1"", ""TTYH1"", ""CNP"", ""PSAT1"")","2"
"141","Neftel_Cell_2019_AC","0.000197112336523693","0.00157689869218954","0.518848077743792","-0.734965408777151","-2.11008931493333","11","c(""DBI"", ""BCAN"", ""PMP2"", ""CST3"", ""ATP1A2"", ""S100A16"", ""EDNRB"", ""TTYH1"")","2"
"142","Fibroblasts","1.66529022530598e-06","3.99669654073435e-05","0.643551836150722","-0.830071079228822","-2.31970311743851","10","c(""FOSB"", ""NR4A1"", ""KLF2"", ""EGR1"", ""NR4A2"", ""KLF4"", ""KLF6"", ""KLF9"")","2"
"143","Neftel_Cell_2019_G2.M","6.8161068912094e-12","2.72644275648376e-11","0.887074988399873","0.719973535487659","2.35387590572747","44","c(""CENPF"", ""H2AFZ"", ""CCNB1"", ""KPNA2"", ""CCNB2"", ""CDC20"", ""SMC4"", ""ARL6IP1"", ""CKAP2"", ""TUBB4B"", ""TMPO"", ""AURKA"", ""HMGB3"", ""ECT2"", ""TUBA1C"", ""CDCA3"", ""PLK1"", ""CCNA2"", ""KIF4A"", ""FOXM1"", ""ANP32E"", ""KIF2C"", ""CKAP2L"", ""KIF11"", ""BUB1"", ""MZT1"", ""TACC3"", ""KIFC1"", ""KNSTRN"", ""MXD3"", ""CDCA8"", ""RACGAP1"", ""TROAP"", ""NCAPD2"", ""ARHGAP11A"", ""BUB1B"", ""TTK"")","1"
"144","Neftel_Cell_2019_G1.S","1.53902011377873e-07","3.07804022755746e-07","0.690132458796796","0.717212420294871","2.2041904010748","26","c(""HIST1H4C"", ""CKS1B"", ""RRM2"", ""MCM7"", ""PCNA"", ""TK1"", ""DUT"", ""CENPK"", ""TMEM106C"", ""RRM1"", ""GINS2"", ""ZWINT"", ""GMNN"", ""FEN1"", ""MCM3"", ""CENPM"", ""AURKB"", ""MCM4"", ""RAD51AP1"", ""ASF1B"", ""CDCA5"")","1"
"145","Richards_NatureCancer_2021_sc.Developmental","0.986696008802641","1","0.00170023299704414","0.155542254181795","0.532041470114137","72","c(""TYMS"", ""NUDT1"", ""H2AFV"", ""GINS2"", ""DDX39A"", ""FANCI"", ""MXD3"", ""GGCT"", ""IDH2"", ""MAD2L2"", ""MAZ"", ""SEPHS1"", ""ASRGL1"", ""H2AFY"", ""PARP1"", ""CBX5"", ""PAFAH1B3"", ""CALM3"", ""CNIH2"", ""SAPCD2"", ""PSIP1"", ""PXMP2"", ""HIST1H1E"", ""PSRC1"", ""RPA2"", ""SNRNP25"", ""CTNNBIP1"", ""LSM8"", ""RBMX"", ""ANP32A"", ""PSMG3"", ""SAMD1"", ""TRIM28"", ""HAUS8"", ""MPP6"", ""RBM8A"", ""NME4"", ""TIMELESS"", ""KLHL23"", ""CDCA7"", ""RAC3"", ""ECI1"", ""HADH"", ""MCUR1"", ""BRD7"", ""PIGX"", ""HMGXB4"", ""ENOPH1"")","1"
"146","Richards_NatureCancer_2021_sc.Injury_Response","1","1","0","0.101610838747434","0.361012819981937","135","c(""CDKN3"", ""ANLN"", ""TUBB4B"", ""CENPW"", ""AURKA"", ""TK1"", ""TUBA1C"", ""DEPDC1"", ""GGH"", ""CEP55"", ""MZT1"", ""SHCBP1"", ""CCT5"", ""C12orf75"", ""PLP2"", ""DIAPH3"", ""CDCA2"", ""LSM3"", ""FDPS"", ""SMS"", ""CDCA4"", ""KPNB1"", ""EIF4EBP1"", ""EBP"", ""SPDL1"", ""LRRC59"", ""SNRPF"", ""TPM4"", ""CBR3"", ""PDCD5"", ""GLO1"", ""TUBB6"", ""TNFRSF12A"", ""TCF19"", ""KIF18A"", ""ACTL6A"", ""CTNNAL1"", ""PSMD14"", ""TPRKB"", ""NQO1"", ""COTL1"", ""DHCR24"", ""UPP1"", ""VKORC1"", ""ZWILCH"", ""CNIH4"", ""PSMB2"", ""PSMG1"", ""NUCB2"", ""PSMD2"", ""GLRX5"", ""BOLA3"", ""RBBP7"", ""STIP1"", ""MGME1"", 
""GINS4"", ""FADS1"", ""MRPL17"", ""ARPC5L"", ""RANGAP1"", ""TPGS2"", ""EZR"", ""FANCB"", ""SDC1"", ""LMO7"", ""IKBIP"", ""NUDT15"", ""PSMA3"", ""RECQL"", ""SQLE"", ""PSMA4"", ""COPS3"", ""SLIRP"", ""ACOT7"")","1"
"147","Richards_NatureCancer_2021_sc.Developmental","2.87026789313709e-07","2.58324110382338e-06","0.674962860011025","0.559286237164297","2.89298363492411","42","c(""PLP1"", ""APOE"", ""BCAN"", ""RNASE1"", ""PMP2"", ""OLIG1"", ""ATP1A2"", ""SOX4"", ""NR4A1"", ""NKAIN4"", ""EDNRB"", ""ERBB3"", ""FAM181B"", ""GNG7"", ""ID4"", ""MARCKSL1"", ""TUBB2B"", ""BTG2"", ""EGR3"", ""MATN2"", ""TTYH1"", ""EGR1"", ""NDRG2"", ""LAPTM4B"", ""NFIA"", ""GPR37L1"", ""MAP2"", ""SEMA5A"", ""RHOQ"", ""UBL3"", ""HES6"", ""CMTM5"", ""BCHE"", ""TRIM9"", ""ABCA8"", ""SLC25A4"", ""MAPT"", ""RFTN2"", ""GPRC5B"", ""CELF2"")","0"
"148","Neftel_Cell_2019_AC","0.0010134225434676","0.0030402676304028","0.45505986738723","0.709677419354839","2.11211488924653","8","c(""BCAN"", ""S100B"", ""PMP2"", ""ATP1A2"", ""EDNRB"", ""F3"", ""TTYH1"", ""NDRG2"")","0"
"149","Chanoch_Myers_ASTROCYTE","0.0068714632174616","0.0154607922392886","0.248832632022043","0.755905511811024","1.86116615105057","5","c(""APOE"", ""PMP2"", ""TSC22D4"", ""ID4"", ""F3"")","0"
"150","Neftel_Cell_2019_OPC","0.0107592367032075","0.0193666260657734","0.198584486969905","0.617870262274092","1.83888192716931","8","c(""PLP1"", ""BCAN"", ""PMP2"", ""OLIG1"", ""NKAIN4"", ""TTYH1"", ""GPR37L1"", ""CNP"")","0"
"151","Neftel_Cell_2019_NPC1","0.0230518155854753","0.034577723378213","0.13525091239264","0.606856681483885","1.71146840632656","7","c(""BCAN"", ""OLIG1"", ""SOX4"", ""MARCKSL1"", ""BTG2"")","0"
"152","Astrocytes","0.0594179466451091","0.076394502829426","0.0829663391489805","0.622634928839818","1.53303162354524","5","c(""APOE"", ""S100B"", ""NKAIN4"")","0"
"153","Yang_BioRxiv_2021_Oligo","0.347746650426309","0.347746650426309","0.0317375395860154","0.366346595796644","1.09030677671877","8","c(""PLP1"", ""MBP"", ""CDH19"", ""CNP"", ""ABCA8"", ""MAPT"", ""GPRC5B"")","0"
"154","Richards_NatureCancer_2021_sc.Injury_Response","0.156106870229008","0.175620229007634","0.0483517351609411","-0.377049635633094","-1.32950181090504","13","c(""DCBLD2"", ""TGFBI"", ""COL6A2"", ""CDKN3"", ""ANLN"", ""THBS1"", ""ARHGAP29"", ""CENPW"", ""TK1"")","0"
"155","Neftel_Cell_2019_G2.M","0.000638722212263924","0.00287424995518766","0.477270815362862","-0.672131147540984","-2.15272411236977","10","c(""CENPF"", ""CCNB1"", ""SMC4"", ""CCNB2"", ""CDC20"", ""ECT2"", ""KIF11"", ""FOXM1"", ""KIF4A"", ""TACC3"")","0"
